t_shift,absolute_ATE,relative_ATE,p_sink,p_sink_given_source,p_sink_given_not_source,correlation
0,0.0001700412306462655,0.009689276133954814,0.01878085,0.01894855789462331,0.01877851666397705,0.0001484175263481131
1,0.030234167112076896,1.6479993963491566,0.01878085,0.04860980768737168,0.018375640575294772,0.024798394745506953
2,0.025626446318698825,1.3162147693689423,0.01878085,0.04406381423987117,0.01843736792117235,0.02056189488169385
3,0.02084045017256933,1.0213329051856819,0.01878085,0.039341901591295005,0.018501451418725678,0.016416754329855544
4,0.016931510938100282,0.7993593969154673,0.01878085,0.03548544218477599,0.018553931246675703,0.013121555473194865
5,0.013136986904697008,0.5970361106963444,0.01878085,0.031741672325776155,0.01860468542107915,0.010014779177838898
6,0.0037928270608752115,0.1359228930050313,0.01878085,0.022522638724082795,0.01872981166320758,0.0025986067447650463
7,0.0021921254068761192,0.07506062739052224,0.01878085,0.02094347700895126,0.01875135160207514,0.0014776818426897665
8,0.0005266203143040129,0.002297086553039134,0.01878085,0.01930037334419796,0.018773753029893946,0.00021953155661378926
9,0.000271020065106417,0.0013727516651106898,0.01878085,0.0190482452682226,0.018777225203116185,0.00011288075226142225
10,0.00020985073499562716,0.008554020447929698,0.01878085,0.018987860985407782,0.018778010250412158,0.00015026507766610067
11,0.00018336293734291987,0.009022300398256687,0.01878085,0.018961727959066775,0.018778365021723854,0.00014582794859928426
12,0.00029486785940244426,0.016950225897552514,0.01878085,0.019071737835334068,0.018776869975931622,0.0002583258457942756
13,-2.4633806953017512e-05,0.004323983756425928,0.01878085,0.01875651854753744,0.018781152354490457,2.314531418386662e-05
14,-0.00018220859845740297,-0.008534092873790231,0.01878085,0.018601072524548578,0.018783281123005983,-0.00014360073759777918
15,-3.997053955878527e-05,0.0014671243869310109,0.01878085,0.018741384500861547,0.01878135504042033,-8.558336024022994e-06
16,-3.192215092044683e-05,0.0002760015336309229,0.01878085,0.018749357334666362,0.018781279485586812,-1.1376589126866395e-05
17,-0.00043660766259351216,-0.019410257961670313,0.01878085,0.018350120149791194,0.018786727812384708,-0.00034070397750233947
18,7.599098227967788e-05,0.00645597761988374,0.01878085,0.018855774750973785,0.018779783768694106,8.164194999729046e-05
19,9.648065890199762e-05,0.0029070968927331995,0.01878085,0.018876114067076552,0.018779633408174554,5.671267056223566e-05
20,0.0001845975697007255,0.010889455890120817,0.01878085,0.0189629371096929,0.018778339539992174,0.0001625788755868413
21,8.798602885453911e-05,0.00554043515336552,0.01878085,0.018867643531829972,0.018779657502975434,8.04546833845262e-05
22,2.8403257740767597e-05,0.0003748985068945446,0.01878085,0.01880892318145826,0.018780519923717494,1.0506928290606285e-05
23,-3.7342467532209707e-05,-0.0038139924419901077,0.01878085,0.018743987395372242,0.018781329862904452,-4.771529276852331e-05
